type_of_violence, best_estimate
2,1
2,1
3,1
3,1
2,1
2,1
2,1
3,1
3,1
2,1
2,22
3,1
3,0
2,1
3,1
2,1
2,1
2,1
2,1
2,1
3,0
2,1
2,2
2,2
2,1
2,0
2,1
2,1
2,1
2,0
3,1
3,1
3,1
3,1
2,1
3,1
3,1
2,0
2,1
2,0
2,1
2,1
2,1
2,2
2,1
2,1
2,1
2,1
3,1
2,1
2,1
3,1
3,1
2,2
3,5
3,1
2,1
2,1
3,1
2,1
3,1
2,1
3,1
2,0
3,2
2,0
2,1
2,1
2,0
2,1
3,1
3,1
2,1
2,1
2,1
3,1
3,1
2,0
2,1
3,1
2,1
3,1
2,1
2,1
2,1
2,1
3,1
2,1
2,1
3,1
3,1
2,1
2,0
3,1
2,1
2,1
2,0
2,14
2,1
3,0
2,1
2,1
2,1
2,1
2,1
2,0
2,1
3,1
3,1
2,1
2,1
2,38
2,1
2,1
3,0
2,1
3,1
2,0
2,1
2,0
2,0
2,1
2,0
2,1
3,1
2,1
2,1
3,1
2,5
3,1
2,1
2,1
3,0
2,0
3,1
2,1
2,1
2,0
2,3
2,1
2,1
3,1
3,4
2,0
2,0
2,1
2,5
2,1
2,1
2,4
3,1
2,1
2,1
3,8
2,1
2,0
3,3
2,0
2,1
2,1
2,2
2,1
2,21
2,0
2,1
2,4
2,1
2,0
2,1
2,0
2,1
2,0
3,1
2,1
2,1
2,1
2,0
2,0
3,1
2,1
3,5
2,2
3,1
2,1
3,1
2,1
2,1
2,1
2,1
2,17
2,1
2,1
2,1
3,1
2,1
2,6
2,1
2,28
2,1
2,0
3,1
3,1
2,1
2,13
2,0
2,1
2,8
2,0
3,1
2,7
2,1
2,1
2,1
2,1
2,0
2,0
2,0
2,1
2,6
2,1
2,39
2,1
2,0
2,0
2,0
3,1
2,27
3,1
2,1
3,1
3,1
2,13
2,1
2,1
2,1
2,1
2,1
2,0
2,1
3,1
3,1
2,1
2,1
3,1
2,65
2,1
3,1
3,1
2,0
3,1
2,1
2,1
2,0
2,1
3,0
3,1
3,1
3,1
3,1
3,1
3,1
2,0
2,1
3,1
2,0
2,1
2,1
3,1
3,1
3,0
2,1
2,1
2,1
2,0
2,1
3,1
3,4
2,1
2,1
3,1
2,0
3,1
3,4
2,1
2,1
2,0
3,0
2,1
3,1
2,5
3,1
3,1
3,1
3,1
2,0
2,1
2,0
2,39
2,1
2,1
2,0
2,4
2,1
3,1
3,1
3,1
3,2
3,2
3,1
3,1
3,1
2,6
2,1
3,1
2,1
3,0
3,1
3,1
3,1
3,1
2,1
3,0
3,2
2,1
2,1
2,1
3,1
2,0
3,1
2,1
2,0
2,1
2,1
2,1
2,1
2,0
2,3
2,1
2,1
2,2
3,1
3,1
3,1
2,0
3,1
3,1
2,1
2,1
3,1
3,0
2,1
2,1
2,1
2,1
2,1
3,2
2,1
2,1
2,1
2,0
3,1
2,1
2,1
2,1
2,1
3,1
2,1
3,1
2,0
2,1
2,39
2,1
2,6
3,1
2,4
2,1
2,0
2,2
3,1
3,1
2,0
3,2
2,1
2,4
3,1
2,1
2,0
2,1
2,2
2,2
2,1
2,1
2,4
2,1
2,1
2,1
2,8
2,0
2,0
2,13
2,0
2,3
3,1
2,0
2,4
2,0
3,11
3,12
2,9
2,2
2,9
3,1
2,0
2,1
3,1
2,9
2,0
2,0
2,2
2,1
2,9
2,0
2,2
2,0
2,35
3,1
3,1
2,0
2,1
2,13
2,1
2,1
2,0
3,9
2,0
2,1
2,0
2,52
2,37
2,4
2,1
2,3
3,1
2,0
2,9
2,1
2,25
2,1
3,1
3,1
2,0
3,1
2,0
3,1
2,1
2,1
2,0
2,4
2,1
2,1
2,2
2,7
2,1
2,0
3,5
2,11
2,4
2,0
2,1
2,0
2,1
2,4
2,2
2,3
2,1
3,1
3,1
2,1
3,1
3,2
2,1
2,1
3,1
2,1
2,1
2,1
2,1
3,1
2,1
3,1
3,0
2,1
2,0
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
3,1
2,1
2,0
2,200
2,1
2,1
2,6
3,1
2,1
3,1
2,1
2,1
2,5
2,1
2,1
2,1
3,1
2,10
2,1
3,1
3,1
3,0
2,0
2,6
2,1
2,0
2,1
3,1
2,1
2,12
3,0
2,0
3,1
2,1
3,1
3,1
2,0
3,1
2,1
3,1
2,1
2,2
2,1
2,1
3,1
3,1
2,0
2,0
2,1
3,1
3,2
2,1
2,1
2,0
2,1
2,1
3,1
2,0
2,1
2,1
2,1
